titre_normalise,frequence
fod - deversement tinette,2
surcharge avion au depart de lys,2
fuite hydraulique avion,2
deroutements sur lys cause meteo a nce,2
degradation beton autour d'un regard,2
decouverte degradation en soute,2
loader circulant sur vca,2
fod sur routes de service,2
refus de priorite aeronef par vehicule,2
choc aviaire en piste - non avere,2
passage gse sous passerelle en mouvement,2
non respect des regles de conduite cote piste,2
incursion vehicule pendant repoussage,2
suspicion train d'atterrissage non verrouille,2
materiel genant sur parking avion,2
fod - piece metallique,2
debordement kerosene lors de l'avitaillement,2
"paxi - passagers indisciplines, debarques",2
degradation etat de surface parking avion,2
fod - sac poubelle,2
vehicule stationne dans la zec genant le debarquement pax,2
fod - hydraulique,2
odeur de brule dans un aeronef en vol,2
materiels stationnes hors zone apparaux,2
circulation sous passerelle en mouvement,2
passage derriere aeronef avec moteur tournant,2
alerte a la bombe,2
fod - tole de toiture,2
fod - projectile d'arme a feu,2
atterrissage helicoptere sur taxiway,2
materiels stationnes sur voie essencier c83,2
porte passerelle retrouvee ouverte,2
indisponibilite du sppa,2
refus de priorite avion au repoussage par camion avitailleur,2
passage tracma sous passerelle en mouvement,2
filet de soute retrouve ouvert a l'arrivee a lys,2
fod divers sur parking avion,2
retour terrain cause probleme de pressurisation,2
voie acces petrolier encombree,2
fod sur l'aire de trafic,2
fod sur b61,2
fod sur aire de manoeuvre,2
stationnement materiel genant,2
non respect clairance repoussage,2
probleme acces avitailleur,2
encombrement zone ops,2
non respect de la zec,2
petrolier stationne sur vca,2
fod - bouts de verre,2
probleme moteur,2
collision aviaire - zone a - non averee - hors aerodrome,2
decouverte dommage sur avion,2
non respect des regles de circulation,2
encombrement zone ops l11,2
baisse np sslia sans impact sur le trafic,2
fod sur k52,2
fod - fuite hydraulique sur gse,2
refus de priorite avion - arret repoussage,2
refus de priorite avion par vehicule,2
"passage de gse sous les passerelles, pendant traitement avion",2
stationnement genant b07,2
poubelle air arabia abandonnee cote piste,2
crochet manquant sur prise 400hz,2
utilisation du telephone dans le psi,2
fod 17r,2
vehicule sur zone de regroupement,2
fod sur c62,2
parking souille de glycol,2
ouverture porte cabine avant accostage du camion de catering,2
